,,,
Referrer,Count,Label,Types
P5098,18,IAFD film ID'@en,"Wikidata property to identify films'@en,'Wikidata property related to erotica or pornography'@en,'Wikidata property for an identifier that does not imply notability'@en"
P5388,18,Bulgarian Antarctic Gazetteer ID'@en,Wikidata property for authority control for places'@en
P5786,18,Moviepilot.de film ID'@en,Wikidata property to identify films'@en
P6034,18,Plant Finder ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to plants and botany'@en"
P6227,18,Flora of Wisconsin ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to plants and botany'@en,'Wikidata property for an identifier that suggests notability'@en"
P6283,18,MNopedia ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P6776,18,IMTL.org ID'@en,"Wikidata property for an identifier'@en,'Wikidata property linking to a representative image'@en,'Wikidata property to identify architectural structures'@en"
P7286,18,Writers Guild of America writer ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier'@en,'Wikidata property for items about films'@en,'Wikidata property related to television programs'@en"
P745,18,Low German Bibliography and Biography ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control for works'@en,'Wikidata property to identify organizations'@en,'Wikidata property related to encyclopedias'@en"
P7803,18,Decine21 person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en"
P8060,18,Glassdoor company ID'@en,"Wikidata property to identify businesses'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property related to reviews and media content ratings'@en"
P8439,18,SAH Archipedia architect ID'@en,"Wikidata property related to encyclopedias'@en,'Wikidata property for authority control for architects'@en"
P866,18,Perlentaucher ID'@en,Wikidata property for authority control for people'@en
P9000,18,World History Encyclopedia ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en,'Wikidata property related to the Middle Ages'@en,'Wikidata property related to the Ancient World'@en"
P9020,18,AV Production person ID'@en,Wikidata property for authority control for people'@en
P9062,18,BABEL author ID'@en,"Wikidata property for authority control for writers'@en,'Wikidata property related to the Ancient World'@en,'Wikidata property related to Christianity'@en"
P9337,18,Keratsini-Drapetsona libraries\' catalogue authority ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control (libraries)'@en"
P9443,18,Virginia House of Delegates ID'@en,Wikidata property for authority control for politicians'@en
P9556,18,LTit person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to literature'@en"
P10826,17,Talent Data Bank ID'@en,Wikidata property for authority control for people'@en
P126,17,maintained by'@en,Wikidata property regarding utilization and ownership'@en
P1644,17,messes.info Catholic church ID'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property related to Catholicism and the Catholic Church'@en,'Wikidata property for authority control of churches'@en"
P1838,17,PSS-archi ID'@en,Wikidata property for an identifier'@en
P1949,17,CulturaItalia ID'@en,Wikidata property for authority control for cultural heritage'@en
P2281,17,Apple Music album ID (U.S. version)'@en,"Wikidata property related to Apple, iOS and Classic Mac OS / OS X'@en,'Wikidata property related to e-commerce'@en,'Wikidata property to identify musical releases'@en"
P2578,17,studies'@en,Wikidata property'@en
P2722,17,Deezer artist ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property related to music streaming'@en"
P2748,17,PRONOM file format identifier'@en,Wikidata property for authority control'@en
P3588,17,WNBA player ID'@en,"Wikidata property for authority control for basketball players'@en,'Wikidata property related to women\'s sport'@en,'Wikidata property for an identifier that suggests notability'@en"
P3591,17,WCSPF ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to plants and botany'@en,'Wikidata property for an identifier that suggests notability'@en"
P3845,17,TV Guide person ID (former scheme)'@en,"Wikidata property for a former identification scheme'@en,'Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en"
P3883,17,Red Bull athlete ID'@en,Wikidata property for authority control for sports people'@en
P3962,17,Global Trade Item Number'@en,Wikidata property for authority control'@en
P3995,17,Filmweb.pl ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en,'Wikidata property related to video games'@en,'Wikidata property to identify films'@en"
P449,17,original broadcaster'@en,Wikidata property for items about works'@en
P457,17,foundational text'@en,"Wikidata property for items about organizations'@en,'Wikidata property related to law and justice'@en"
P465,17,sRGB color hex triplet'@en,"Wikidata property with datatype string that is not an external identifier'@en,'Wikidata property related to color'@en"
P4652,17,ESCO Occupation ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for items about occupations'@en"
P4901,17,Zenodo ID'@en,"Wikidata property for authority control (open-access repositories)'@en,'Wikidata property for items about scholarly articles'@en"
P4965,17,Behind The Voice Actors video game ID'@en,Wikidata property to identify video games'@en
P5015,17,Digital Typhoon typhoon ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to climate'@en"
P5355,17,abgeordnetenwatch.de politician ID'@en,Wikidata property for authority control for politicians'@en
P5552,17,CNRS Talent page'@en,Wikidata property for authority control for people'@en
P5617,17,Evene ID'@en,Wikidata property for authority control for people'@en
P5648,17,AniDB character ID'@en,"Wikidata property to identify anime and manga characters'@en,'Wikidata property for an identifier that generally has just one value, but rarely can have two or more values for the same entity'@en"
P669,17,located on street'@en,"Wikidata property to indicate a location'@en,'Wikidata property related to transport'@en,'Wikidata property encoding a vCard value'@en"
P7943,17,The Washington Post contributor ID'@en,"Wikidata property related to journalism'@en,'Wikidata property for authority control for people'@en"
P7993,17,Treccani\'s Dizionario di Filosofia ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to philosophy'@en,'Wikidata property related to encyclopedias'@en"
P8365,17,Thesaurus Sozialwissenschaften ID'@en,"Wikidata property related to a thesaurus'@en,'Wikidata property related to social science'@en"
P8563,17,Emporis company ID'@en,"Wikidata property to identify businesses'@en,'Wikidata property related to architecture'@en"
P8648,17,Ministry of the Interior of Italy ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for authority control for politicians'@en"
P8694,17,Science Museum Group ID'@en,Wikidata property for authority control for works'@en
P9105,17,Dictionnaire des journalistes ID'@en,"Wikidata property related to the Early Modern period'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P9477,17,Trap Danmark ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P962,17,MycoBank taxon name ID'@en,"Wikidata property related to mushrooms and mycology'@en,'Wikidata property to identify taxa'@en"
P9656,17,"Istituto Veneto di Scienze, Lettere ed Arti member ID'@en","Wikidata property for authority control (academies)'@en,'Wikidata property for authority control for people'@en"
P9814,17,Team Deutschland Paralympics ID'@en,"Wikidata property related to disabled sport'@en,'Wikidata property related to Olympism'@en,'Wikidata property for authority control for sports people'@en"
P10404,16,LMHL author ID'@en,Wikidata property for authority control for people'@en
P140,16,religion or worldview'@en,"Wikidata property for items about people'@en,'Wikidata property related to religions and beliefs'@en,'personal data'@en"
P2047,16,duration'@en,"Wikidata property for items about works'@en,'orderable Wikidata property'@en,'Wikidata property for physical quantities'@en,'Wikidata property related to time and duration'@en"
P2385,16,French diocesan architects ID'@en,"Wikidata property for authority control for architects'@en,'Wikidata property related to Christianity'@en"
P2754,16,production date'@en,Wikidata property for items about works'@en
P2847,16,Google+ ID'@en,"Wikidata property to identify online accounts'@en,'Wikidata property for Wikivoyage listings'@en,'Wikidata property for a discontinued website'@en"
P3299,16,student register of the University of Helsinki ID (1640–1852)'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to student registries'@en"
P3307,16,Galiciana authority ID'@en,"Wikidata property for authority control for writers'@en,'Wikidata property for authority control (libraries)'@en"
P3520,16,databaseOlympics.com athlete ID (archived)'@en,"Wikidata property related to Olympism'@en,'Wikidata property for a discontinued website'@en,'Wikidata property for authority control for sports people'@en"
P3769,16,It\'s Rugby player ID'@en,Wikidata property for authority control for rugby union players'@en
P3844,16,Deutsche Synchronkartei film ID'@en,Wikidata property to identify films'@en
P3925,16,Track and Field Statistics male athlete ID'@en,Wikidata property for authority control for athletics competitors'@en
P4009,16,RKY national built heritage environment ID'@en,Wikidata property to identify architectural structures'@en
P4354,16,search formatter URL'@en,"Wikidata property for property documentation'@en,'Wikidata property for an identifier'@en,'Wikidata property related to websites'@en"
P4505,16,IAFD male performer ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en,'Wikidata property related to erotica or pornography'@en,'Wikidata property for an identifier that does not imply notability'@en"
P4514,16,Africultures person ID'@en,Wikidata property for authority control for people'@en
P4548,16,Commonwealth Games Federation athlete ID'@en,"Wikidata property related to sport events'@en,'Wikidata property for authority control for sports people'@en"
P4625,16,"Museum of Fine Arts, Boston object ID'@en",Wikidata property to identify artworks'@en
P4906,16,Bargeton ID'@en,"Wikidata property related to politics'@en,'Wikidata property related to biographical dictionaries'@en"
P5340,16,American Film Institute person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for identification in the film industry'@en"
P5539,16,Eulalie ID'@en,"Wikidata property for authority control for writers'@en,'Wikidata property for an identifier that suggests notability'@en"
P57,16,director'@en,Wikidata property for items about works'@en
P5747,16,CWA writer ID'@en,"Wikidata property for authority control for writers'@en,'Wikidata property for an identifier that suggests notability'@en"
P607,16,conflict'@en,"Wikidata property for items about people'@en,'Wikidata property for items about military'@en"
P6359,16,Crew United title ID'@en,"Wikidata property to identify films'@en,'Wikidata property to identify television shows'@en,'Wikidata property for an identifier that suggests notability'@en"
P6717,16,Indie DB game ID'@en,Wikidata property to identify video games'@en
P6764,16,V&A person ID'@en,Wikidata property for authority control for artists'@en
P6765,16,Guix Variable Name'@en,"Wikidata property for an identifier'@en,'Wikidata property for items about software'@en"
P6949,16,announcement date'@en,"Wikidata property for items about works'@en,'Wikidata property with datatype \'time\''@en"
P730,16,service retirement'@en,Wikidata property with datatype \'time\''@en
P7333,16,Pathway Ontology ID'@en,Wikidata property for an identifier'@en
P7857,16,fyyd podcast episode ID'@en,Wikidata property to identify podcast episodes'@en
P8068,16,ToposText place ID'@en,"Wikidata property for authority control for places'@en,'Wikidata property related to the Ancient World'@en,'Wikidata property for an identifier that suggests notability'@en"
P9256,16,Diccionari de la traducció catalana ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P9581,16,UNITER Award person ID'@en,"Wikidata property related to theater'@en,'Wikidata property for authority control for artists'@en,'Wikidata property related to awards, prizes and honours'@en,'Wikidata property for an identifier that suggests notability'@en"
P9589,16,Muziekencyclopedie ID'@en,"Wikidata property related to music'@en,'Wikidata property related to encyclopedias'@en"
P10366,15,Gardens Navigator ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to plants and botany'@en"
P10562,15,SPLC group ID'@en,Wikidata property to identify organizations'@en
P1239,15,ISFDB publisher ID'@en,Wikidata property to identify publishers'@en
P1299,15,depicted by'@en,Wikidata property'@en
P1535,15,used by'@en,Wikidata property regarding utilization and ownership'@en
P1961,15,CTHS society ID'@en,Wikidata property to identify organizations'@en
P1982,15,Anime News Network person ID'@en,"Wikidata property to identify voice actors'@en,'Wikidata property for authority control of mangaka'@en"
P2276,15,UEFA player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property for an identifier that suggests notability'@en"
P3677,15,Wereld van Oranje player ID'@en,Wikidata property for authority control for association football players'@en
P371,15,presenter'@en,Wikidata property for items about works'@en
P3939,15,English Short Title Catalogue identifier'@en,"Wikidata property for authority control for works'@en,'Wikidata property for items about books'@en"
P4227,15,Indonesian Small Islands Directory ID'@en,Wikidata property for authority control for places'@en
P5160,15,Thesaurus for Graphic Materials ID'@en,"Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to a thesaurus'@en"
P5301,15,France Culture person ID'@en,Wikidata property for authority control for people'@en
P5390,15,Classiques des sciences sociales ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify books'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to social science'@en"
P5534,15,Open Media Database person ID'@en,Wikidata property for authority control for people'@en
P6152,15,National Portrait Gallery (United States) object ID'@en,Wikidata property to identify artworks'@en
P6535,15,BHL part ID'@en,Wikidata property for an identifier'@en
P6773,15,HAL structure ID'@en,"Wikidata property for authority control (publishers)'@en,'Wikidata property to identify organizations'@en"
P7176,15,XING profile ID'@en,Wikidata property for authority control for people'@en
P7697,15,Maine: An Encyclopedia ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P7775,15,RationalWiki ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property linking to external MediaWiki wiki'@en"
P7883,15,Historical Marker Database ID'@en,Wikidata property for an identifier'@en
P7951,15,DC Comics talent ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to comics'@en"
P7958,15,Chicago Landmarks ID'@en,"Wikidata property related to Chicago'@en,'Wikidata property for authority control for cultural heritage'@en"
P8067,15,Macdonald Dictionary ID'@en,Wikidata property for authority control for people'@en
P8325,15,Indonesian Intangible Cultural Heritage Registration Number'@en,Wikidata property for authority control for cultural heritage'@en
P8772,15,Blogger user profile ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that does not imply notability'@en"
P8783,15,AAGM person or institution ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en"
P8788,15,Dignity Memorial person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property related to websites'@en"
P9117,15,BVFE author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control (libraries)'@en"
P9330,15,Washington Place Names ID'@en,Wikidata property for authority control for places'@en
P9761,15,IRIS SNS author ID'@en,"Wikidata property for authority control (open-access repositories)'@en,'Wikidata property for authority control for people'@en,'Wikidata property for an identifier that suggests notability'@en"
P9966,15,United Nations Treaty Collection object ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property related to law and justice'@en,'Wikidata property related to the United Nations'@en"
P1026,14,academic thesis'@en,"Wikidata qualifier'@en,'Wikidata property for items about people'@en,'Wikidata property for items about works'@en,'Wikidata property related to education'@en"
P103,14,native language'@en,"Wikidata property for items about people'@en,'Wikidata property to indicate a language'@en"
P10529,14,Madrean Discovery Expeditions Fauna Database ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to animals and zoology'@en"
P10660,14,C-SPAN person numeric ID'@en,Wikidata property for authority control for politicians'@en
P119,14,place of burial'@en,"Wikidata property for birth or death'@en,'Wikidata property for specifying the location of an event'@en,'Wikidata property related to religions and beliefs'@en,'Wikidata property related to burials, graves, and memorials'@en"
P138,14,named after'@en,Wikidata property to indicate a name'@en
P1449,14,nickname'@en,"Wikidata property for items about people'@en,'Wikidata property for items about organizations'@en,'Wikidata property to indicate a name'@en,'Wikidata property encoding a vCard value'@en"
P162,14,producer'@en,"Wikidata property for items about musical works'@en,'Wikidata property for items about films'@en"
P1730,14,AllMusic song ID'@en,Wikidata property to identify songs'@en
P1752,14,scale'@en,Wikidata property related to ratios and proportions'@en
P194,14,legislative body'@en,Wikidata property related to government and state'@en
P1972,14,Open Hub ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property for items about software'@en"
P2186,14,Wiki Loves Monuments ID'@en,Wikidata property for authority control for places'@en
P2190,14,C-SPAN person ID'@en,Wikidata property for authority control for politicians'@en
P2284,14,price'@en,Wikidata property related to economics'@en
P2441,14,literal translation'@en,Wikidata qualifier'@en
P2795,14,directions'@en,"Wikidata property to indicate a location'@en,'Wikidata property for Wikivoyage listings'@en"
P2816,14,HowLongToBeat ID'@en,Wikidata property to identify video games'@en
P2916,14,syntax clarification'@en,Wikidata qualifier'@en
P3407,14,Klosterdatenbank ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property for authority control for places of worship'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to Christianity'@en"
P3538,14,Fussballdaten.de player ID'@en,Wikidata property for authority control for association football players'@en
P3900,14,CONICET person ID'@en,Wikidata property for authority control for people'@en
P4021,14,danskefilm animated film ID'@en,"Wikidata property to identify films'@en,'Wikidata property related to animation'@en"
P4086,14,MyAnimeList anime ID'@en,"Wikidata property to identify anime television shows, episodes and films'@en"
P4533,14,Czech street ID'@en,Wikidata property for authority control for public roads'@en
P4606,14,National Film Board of Canada film ID'@en,Wikidata property to identify films'@en
P4611,14,LACMA ID'@en,"Wikidata property related to Los Angeles'@en,'Wikidata property for authority control for people'@en,'Wikidata property to identify artworks'@en"
P5029,14,Researchmap ID'@en,Wikidata property for authority control for people'@en
P5470,14,Scottish Poetry Library poet ID'@en,"Wikidata property related to poetry'@en,'Wikidata property for authority control for writers'@en,'Wikidata property for an identifier that suggests notability'@en"
P5515,14,Znicenekostely ID'@en,"Wikidata property for authority control for places of worship'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to Christianity'@en"
P5712,14,IMEC ID'@en,"Wikidata property for authority control'@en,'Wikidata property related to literature'@en"
P5819,14,International Mathematical Olympiad participant ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to mathematics'@en"
P5916,14,Spotify show ID'@en,Wikidata property to identify podcasts'@en
P5983,14,Springer journal ID'@en,"Wikidata property for authority control for academic journals'@en,'Wikidata property for an identifier that suggests notability'@en"
P5999,14,Japan PlayStation Store ID'@en,"Wikidata property to identify video games'@en,'Wikidata property related to e-commerce'@en"
P6006,14,Museum Universe Data File ID'@en,"Wikidata property for authority control for museums'@en,'Wikidata property for an identifier that suggests notability'@en"
P6058,14,Larousse ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P6071,14,Polish Olympic Committee athlete ID'@en,"Wikidata property related to a National Olympic or Paralympic Committee'@en,'Wikidata property for an identifier that suggests notability'@en,'Wikidata property for authority control for sports people'@en"
P6114,14,Portal to the Flora of Italy ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to plants and botany'@en"
P6208,14,award rationale'@en,Wikidata qualifier'@en
P6414,14,DIZIE ID'@en,"Wikidata property related to politics'@en,'Wikidata property related to encyclopedias'@en"
P6419,14,GEOFON earthquake ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to seismology'@en"
P6646,14,JMdictDB ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for lexicographical data'@en,'Wikidata property for lexemes'@en"
P7026,14,Lebanese National Library ID'@en,Wikidata property for authority control by VIAF member'@en
P7435,14,EU-Football.info referee ID'@en,Wikidata property to identify association football referees'@en
P7445,14,Basis Wien person ID'@en,Wikidata property for an identifier'@en
P7452,14,reason for preferred rank'@en,"Wikidata qualifier'@en,'Wikidata property for properties'@en"
P7507,14,Ben Yehuda author ID'@en,Wikidata property for an identifier'@en
P7678,14,Wikimapia ID'@en,Wikidata property for an identifier'@en
P7691,14,The Oregon Encyclopedia ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en"
P7737,14,DeviantArt username'@en,Wikidata property to identify online accounts'@en
P7910,14,DANFS ship ID'@en,"Wikidata property related to subject dictionaries'@en,'Wikidata property for an identifier'@en,'Wikidata property related to maritime and inland waterway transport'@en"
P8137,14,Inventory of Archaic and Classical Poleis ID'@en,Wikidata property for an identifier'@en
P8280,14,Modelhub ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to erotica or pornography'@en"
P842,14,Fossilworks ID for this taxon'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to paleontology'@en"
P8446,14,Gateway to Research person ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to research'@en"
P8814,14,WordNet 3.1 Synset ID'@en,Wikidata property for an identifier'@en
P937,14,work location'@en,"Wikidata property for items about people'@en,'Wikidata property for items about organizations'@en,'Wikidata property for specifying the location of an event'@en"
P9563,14,Encyclopedia of Renaissance Philosophy ID'@en,"Wikidata property related to the Renaissance'@en,'Wikidata property related to philosophy'@en,'Wikidata property related to encyclopedias'@en"
P9564,14,Biographical Dictionary of Chinese Christianity ID'@en,"Wikidata property related to Christianity'@en,'Wikidata property related to biographical dictionaries'@en"
P9634,14,AADFI member ID'@en,"Wikidata property for authority control (academies)'@en,'Wikidata property for authority control for people'@en,'Wikidata property related to art'@en"
P9642,14,Olschki author ID'@en,"Wikidata property for authority control (publishers)'@en,'Wikidata property for authority control for people'@en"
P968,14,email address'@en,"Wikidata property for an identifier'@en,'Wikidata property for Wikivoyage listings'@en,'Wikidata property encoding a vCard value'@en,'Wikidata property for items about people or organisations'@en"
P9738,14,IFPNI author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to paleontology'@en,'Wikidata property related to plants and botany'@en"
P9791,14,ASE person ID'@en,Wikidata property for authority control for people'@en
P9855,14,Edizioni Ares author ID'@en,"Wikidata property for authority control (publishers)'@en,'Wikidata property for authority control for people'@en"
P9863,14,Gujarati Vishwakosh entry'@en,Wikidata property related to encyclopedias'@en
P10883,13,,
P10943,13,,
P10958,13,,
P1352,13,ranking'@en,"Wikidata property related to sport organizations'@en,'Wikidata property for items about musical works'@en,'Wikidata property related to sports people'@en"
P1428,13,Lost Art ID'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property to identify artworks'@en"
P169,13,chief executive officer'@en,Wikidata property for items about corporations'@en
P1886,13,Smithsonian volcano ID'@en,"Wikidata property for authority control for places'@en,'Wikidata property related to geology'@en"
P2048,13,height'@en,Wikidata property for physical quantities'@en
P2335,13,Swedish Film Database company ID'@en,"Wikidata property to identify businesses'@en,'Wikidata property for identification in the film industry'@en"
P2373,13,Genius artist ID'@en,"Wikidata property for authority control of musicians and musical ensembles'@en,'human-readable ID'@en"
P2423,13,International Fencing Federation fencer ID'@en,Wikidata property for authority control for fencers'@en
P2521,13,female form of label'@en,"Wikidata property to indicate a name'@en,'Wikidata property related to women and feminism'@en"
P2541,13,operating area'@en,Wikidata property for items about organizations'@en
P2888,13,exact match'@en,"Wikidata property to describe the elements of identity'@en,'Wikidata property for ontology mapping'@en"
P2967,13,Queensland Heritage Register ID'@en,Wikidata property for authority control for cultural heritage'@en
P3155,13,Runeberg book ID'@en,Wikidata property to identify books'@en
P3276,13,Angel List ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en"
P3302,13,Open Media Database film ID'@en,"Wikidata property to identify television series episodes'@en,'Wikidata property to identify films'@en,'Wikidata property to identify television shows'@en"
P3951,13,BioRxiv ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property for an identifier'@en,'Wikidata property related to biology'@en,'Wikidata property for items about scholarly articles'@en"
P40,13,child'@en,"asymmetric Wikidata property'@en,'Wikidata property for human relationships'@en,'Wikidata property encoding a vCard value'@en"
P4028,13,Google Scholar paper ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property for items about scholarly articles'@en"
P4278,13,FCI rider ID'@en,"Wikidata property for authority control for cyclists'@en,'Wikidata property for an identifier that suggests notability'@en"
P462,13,color'@en,"Wikidata property for perceptual properties'@en,'Wikidata property related to color'@en,'Wikidata property used as \""depicts\"" (P180) qualifier on Commons'@en"
P4633,13,name of the character role'@en,"Wikidata qualifier'@en,'Wikidata property related to works of fiction'@en"
P4814,13,Inventories of American Painting and Sculpture control number'@en,"Wikidata property to identify artworks'@en,'Wikidata property for an identifier that suggests notability'@en"
P4904,13,Tropicos publication ID'@en,"Wikidata property for authority control for academic journals'@en,'Wikidata property for an identifier that suggests notability'@en"
P5128,13,ICAA film catalogue ID'@en,"Wikidata property to identify films'@en,'Wikidata property related to reviews and media content ratings'@en"
P576,13,"dissolved, abolished or demolished date'@en","Wikidata property for items about organizations'@en,'Wikidata property with datatype \'time\''@en,'Wikidata property for Wikivoyage listings'@en"
P582,13,end time'@en,"Wikidata qualifier'@en,'Wikidata property with datatype \'time\''@en"
P597,13,WTA player ID'@en,"Wikidata property for authority control for tennis players'@en,'Wikidata property related to women\'s sport'@en,'Wikidata property for an identifier that suggests notability'@en"
P6,13,head of government'@en,"Wikidata property related to politics'@en,'Wikidata property related to government and state'@en"
P6224,13,level of description'@en,Wikidata property'@en
P6409,13,CORE ID'@en,"Wikidata property for an identifier'@en,'Wikidata property for items about scholarly articles'@en"
P6979,13,SLNSW unpublished item ID'@en,Wikidata property for an identifier'@en
P8565,13,British Museum object ID'@en,"Wikidata property related to museums'@en,'Wikidata property for authority control for cultural heritage'@en,'Wikidata property for items about works'@en,'Wikidata property for a multi-source identifier'@en"
P9921,13,Issuu ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property to identify organizations'@en"
P1004,12,MusicBrainz place ID'@en,"Wikidata property for authority control for places'@en,'Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property related to music'@en"
P10343,12,Key Biodiversity Areas factsheet ID'@en,Wikidata property for authority control for places'@en
P10399,12,St. Sergius Institute authority ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en"
P1044,12,SWB editions'@en,"Wikidata property to identify books'@en,'Wikidata property for authority control (libraries)'@en"
P10801,12,Ukrainian Live Classic composer ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property related to music'@en"
P10915,12,,
P11032,12,,
P11182,12,,
P1532,12,country for sport'@en,"Wikidata property related to sports people'@en,'Wikidata property related to sports teams/clubs'@en"
P1842,12,Global Anabaptist Mennonite Encyclopedia Online ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control for places'@en,'Wikidata property related to encyclopedias'@en,'Wikidata property related to Christianity'@en"
P1976,12,INEGI locality ID'@en,Wikidata property for authority control for administrative subdivisions'@en
P2044,12,elevation above sea level'@en,"Wikidata property for physical quantities'@en,'Wikidata property related to geology'@en"
P2464,12,BugGuide taxon ID'@en,"Wikidata property to identify taxa'@en,'Wikidata property related to insects and entomology'@en"
P2582,12,J. Paul Getty Museum object ID'@en,Wikidata property to identify artworks'@en
P2824,12,Gazetteer of Planetary Nomenclature ID'@en,Wikidata property to identify astronomical objects'@en
P2867,12,Molenecho\'s ID'@en,Wikidata property to identify architectural structures'@en
P3196,12,USGS earthquake ID'@en,"Wikidata property for an identifier'@en,'Wikidata property to identify events'@en,'Wikidata property related to seismology'@en"
P3295,12,code'@en,"Wikidata qualifier'@en,'Wikidata property'@en"
P3390,12,NLB authority ID'@en,"Wikidata property for authority control'@en,'Wikidata property for authority control (libraries)'@en"
P3405,12,Nederlands Soortenregister ID'@en,Wikidata property to identify taxa'@en
P3414,12,Yle Areena item ID'@en,Wikidata property for authority control for works'@en
P3417,12,Quora topic ID'@en,"Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property related to online communities'@en,'Wikidata property for an identifier that does not imply notability'@en"
P3468,12,National Inventors Hall of Fame ID'@en,Wikidata property for an identifier that suggests notability'@en
P3846,12,DBC author ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control by VIAF member'@en"
P4175,12,Patreon ID'@en,"Wikidata property to identify online accounts'@en,'Wikidata property related to crowdfunding platforms'@en"
P4300,12,YouTube playlist ID'@en,"Wikidata property to identify playlists'@en,'Wikidata property related to video-sharing services'@en,'Wikidata property for an identifier that does not imply notability'@en"
P4352,12,BillionGraves cemetery ID'@en,Wikidata property for authority control for cemeteries'@en
P4373,12,National Trust Collections ID'@en,Wikidata property to identify artworks'@en
P4490,12,British Olympic Association athlete ID'@en,"Wikidata property related to a National Olympic or Paralympic Committee'@en,'Wikidata property for authority control for sports people'@en"
P4494,12,Barbarian R.C. ID'@en,"Wikidata property for authority control for rugby union players'@en,'Wikidata property for an identifier that suggests notability'@en"
P4823,12,American National Biography ID'@en,"Wikidata property for an identifier that suggests notability'@en,'Wikidata property related to biographical dictionaries'@en"
P4890,12,EPHE ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for an identifier that suggests notability'@en"
P5002,12,Orthodox Encyclopedia ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to encyclopedias'@en,'Wikidata property related to the Eastern Orthodox Church'@en"
