,,,
Referrer,Count,Label,Types
P3937,47676,Reactome ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to biology'@en"
P8433,47501,Swedish Riksdag document ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to law and justice'@en"
P5383,47208,archINFORM project ID'@en,"Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property related to architecture'@en,'Wikidata property for an identifier that suggests notability'@en"
P7293,47151,PLWABN ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control by VIAF member'@en"
P1566,46192,GeoNames ID'@en,Wikidata property for authority control for places'@en
P1850,46053,SSR place name number'@en,Wikidata property for authority control for places'@en
P638,44173,PDB structure ID'@en,"Wikidata property for an identifier'@en,'Wikidata property related to medicine'@en,'Wikidata property to identify proteins'@en"
P4525,40554,MuIS object ID'@en,"Wikidata property related to museums'@en,'Wikidata property to identify artworks'@en"
P762,40077,Czech cultural heritage ID'@en,Wikidata property for authority control for cultural heritage'@en
P217,39772,inventory number'@en,"Wikidata property for items about works'@en,'Wikidata property for a multi-source identifier'@en"
P5750,39482,FBref player ID'@en,"Wikidata property for authority control for association football players'@en,'Wikidata property for an identifier that suggests notability'@en"
P2960,38414,archive date'@en,Wikidata property to indicate a source'@en
P1871,38056,CERL Thesaurus ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control for places'@en,'Wikidata property to identify organizations'@en,'Wikidata property related to a thesaurus'@en,'Wikidata property for authority control (libraries)'@en"
P1280,37897,CONOR.SI ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control by VIAF member'@en"
P3318,37473,Guía Digital del Patrimonio Cultural de Andalucía identifier'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property for an identifier that suggests notability'@en"
P3124,37110,Polish scientist ID'@en,Wikidata property for authority control for people'@en
P4861,34772,Charity Navigator ID'@en,"Wikidata property to identify organizations'@en,'Wikidata property for an identifier that suggests notability'@en"
P646,33525,Freebase ID'@en,Wikidata property for authority control'@en
P3088,33371,Catalogue of Life in Taiwan ID'@en,"Wikidata property for authority control'@en,'Wikidata property to identify taxa'@en,'Wikidata property for an identifier that suggests notability'@en"
P3561,33085,Pro-Football-Reference.com player ID'@en,"Wikidata property for authority control for players of American football'@en,'Wikidata property for an identifier that suggests notability'@en"
P213,32579,ISNI'@en,"Wikidata property for authority control for people'@en,'Wikidata property to identify organizations'@en,'Wikidata property for an international standard identifier'@en,'Wikidata property for authority control by VIAF member'@en,'Wikidata property for an identifier that does not imply notability'@en"
P648,32205,Open Library ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control for works'@en,'Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property to identify books'@en,'Wikidata property for authority control (libraries)'@en"
P5297,32185,Companies House officer ID'@en,Wikidata property for authority control for people'@en
P2477,31983,BDRC Resource ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control for places'@en,'Wikidata property for authority control for works'@en,'Wikidata property related to Buddhism'@en"
P1447,31862,Sports-Reference.com Olympic athlete ID (archived)'@en,"Wikidata property related to Olympism'@en,'Wikidata property for a discontinued website'@en,'Wikidata property for authority control for sports people'@en"
P269,31562,IdRef ID'@en,Wikidata property for authority control by VIAF member'@en
P1433,31242,published in'@en,"Wikidata property to indicate a source'@en,'Wikidata property for items about works'@en"
P4293,30952,PM20 folder ID'@en,"Wikidata property to identify news website topics'@en,'Wikidata property related to archives'@en"
P3749,29827,Google Maps Customer ID'@en,Wikidata property for authority control for places'@en
P1459,29678,Cadw Building ID'@en,"Wikidata property for authority control for cultural heritage'@en,'Wikidata property to identify architectural structures'@en"
