Preferred Claims (preferredRank-claims-pred-count-label) - Contagem de predicados associados a CLAIMS com rank=preferred,,,,,
Predicate,Count,Label,Frequency,,Accumulated Freq
P2664,138,units sold'@en,0,,
P1477,138,birth name'@en,0,,
P8047,137,country of registry'@en,0,,
P1827,136,ISWC'@en,0,,
P1618,133,sport number'@en,0,,
P6720,129,interwiki prefix at Wikimedia'@en,0,,
P1566,129,GeoNames ID'@en,0,,
P126,129,maintained by'@en,0,,
P8419,126,Archive of Our Own tag'@en,0,,
P1651,126,YouTube video ID'@en,0,,
P1451,124,motto text'@en,0,,
P641,122,sport'@en,0,,
P3654,122,Chess.com member ID'@en,0,,
P5570,118,NooSFere author ID'@en,0,,
P964,116,Austrian municipality key'@en,0,,
P101,116,field of work'@en,0,,
P373,114,Commons category'@en,0,,
P176,114,manufacturer'@en,0,,
P421,112,located in time zone'@en,0,,
P2049,112,width'@en,0,,
P190,110,twinned administrative body'@en,0,,
P1075,110,rector'@en,0,,
P241,109,military branch'@en,0,,
P3182,108,FANTOIR code'@en,0,,
P1181,107,numeric value'@en,0,,
P901,105,FIPS 10-4 (countries and regions)'@en,0,,
P186,105,made from material'@en,0,,
P512,104,academic degree'@en,0,,
P1998,102,UCI code of cycling team'@en,0,,
P809,101,WDPA ID'@en,0,,
P2047,101,duration'@en,0,,
P9435,100,KATOTTH ID'@en,0,,
P1192,99,connecting service'@en,0,,
P8328,98,Democracy Index'@en,0,,
P1619,98,date of official opening'@en,0,,
P2067,97,mass'@en,0,,
P1680,97,subtitle'@en,0,,
P580,96,start time'@en,0,,
P968,95,email address'@en,0,,
P953,94,full work available at URL'@en,0,,
P484,93,"IMA Number, broad sense'@en",0,,
P3320,93,board member'@en,0,,
P937,91,work location'@en,0,,
P528,91,catalog code'@en,0,,
P2146,91,orbital period'@en,0,,
P38,90,currency'@en,0,,
P2120,90,radius'@en,0,,
P9863,89,Gujarati Vishwakosh entry'@en,0,,
P798,89,military designation'@en,0,,
P1083,89,maximum capacity'@en,0,,
P4762,88,Common Database on Designated Areas ID'@en,0,,
P402,86,OpenStreetMap relation ID'@en,0,,
P3977,86,Songkick venue ID'@en,0,,
P2505,86,carries'@en,0,,
P1329,86,phone number'@en,0,,
P9339,85,Bavarian Monument Map object ID (architectural monument)'@en,0,,
P291,85,place of publication'@en,0,,
P15,85,route map'@en,0,,
P156,83,followed by'@en,0,,
P618,81,source of energy'@en,0,,
P607,80,conflict'@en,0,,
P5817,79,state of use'@en,0,,
P86,78,composer'@en,0,,
P3438,78,vehicle normally used'@en,0,,
P22,77,father'@en,0,,
P10431,77,Portable Antiquities Scheme object type identifier'@en,0,,
P509,76,cause of death'@en,0,,
P264,76,record label'@en,0,,
P2333,76,Norwegian organisation number'@en,0,,
P3615,75,Vision of Britain unit ID'@en,0,,
P237,75,coat of arms'@en,0,,
P729,74,service entry'@en,0,,
P434,74,MusicBrainz artist ID'@en,0,,
P371,74,presenter'@en,0,,
P1896,74,source website for the property'@en,0,,
P155,73,follows'@en,0,,
P277,72,programming language'@en,0,,
P40,71,child'@en,0,,
P212,71,ISBN-13'@en,0,,
P676,70,lyrics by'@en,0,,
P1830,70,owner of'@en,0,,
P1449,70,nickname'@en,0,,
P1064,70,track gauge'@en,0,,
P1001,69,applies to jurisdiction'@en,0,,
P2347,68,YSO ID'@en,0,,
P4912,67,century breaks'@en,0,,
P178,66,developer'@en,0,,
P8505,65,traffic sign template image'@en,0,,
P1113,65,number of episodes'@en,0,,
P541,64,office contested'@en,0,,
P1442,64,image of grave'@en,0,,
P535,62,Find a Grave memorial ID'@en,0,,
P2923,62,focal height'@en,0,,
P296,61,station code'@en,0,,
P1303,61,instrument'@en,0,,
P2663,60,common equity tier 1 capital ratio (CETI)'@en,0,,
P16,60,transport network'@en,0,,
P1142,60,political ideology'@en,0,,
P910,57,topic\'s main category'@en,0,,
P2284,57,price'@en,0,,
P8295,56,AustLit ID'@en,0,,
P439,56,German municipality key'@en,0,,
P2437,56,number of seasons'@en,0,,
P1343,56,described by source'@en,0,,
P1313,56,office held by head of government'@en,0,,
P1629,55,Wikidata item of this property'@en,0,,
P2929,54,lighthouse range'@en,0,,
P272,54,production company'@en,0,,
P1843,54,taxon common name'@en,0,,
P400,53,platform'@en,0,,
P1770,53,Romania LMI code'@en,0,,
P112,53,founded by'@en,0,,
P98,52,editor'@en,0,,
P840,52,narrative location'@en,0,,
P585,52,point in time'@en,0,,
P2963,52,Goodreads author ID'@en,0,,
P1971,52,number of children'@en,0,,
P1867,52,eligible voters'@en,0,,
P84,51,architect'@en,0,,
P803,51,professorship'@en,0,,
P452,50,industry'@en,0,,
P269,50,IdRef ID'@en,0,,
P206,50,located in or next to body of water'@en,0,,
P1342,50,number of seats'@en,0,,
P609,49,terminus location'@en,0,,
P1401,49,bug tracking system'@en,0,,
P793,48,significant event'@en,0,,
P1056,48,product or material produced'@en,0,,
P395,47,licence plate code'@en,0,,
P2670,47,has part(s) of the class'@en,0,,
P179,47,part of the series'@en,0,,
P162,47,producer'@en,0,,
P9345,46,Discord server numeric ID'@en,0,,
P7101,46,privacy policy URL'@en,0,,
P465,46,sRGB color hex triplet'@en,0,,
P301,46,category\'s main topic'@en,0,,
P239,46,ICAO airport code'@en,0,,
P2910,45,icon'@en,0,,
P1581,45,official blog'@en,0,,
P3153,44,Crossref funder ID'@en,0,,
P305,44,IETF language tag'@en,0,,
P683,43,ChEBI ID'@en,0,,
P6087,43,coach of sports team'@en,0,,
P5769,43,editor-in-chief'@en,0,,
P414,43,stock exchange'@en,0,,
P3975,43,secretary general'@en,0,,
P2936,43,language used'@en,0,,
P2541,43,operating area'@en,0,,
